total_volume,volume_head,volume_thorax,volume_abdomen,total_length,length_head,length_thorax,length_abdomen,file_name
1.17,0.141,0.251,0.778,10.138,1.023,2.604,5.208,CAS001_CAS0000005_stacked_02_H
0.304,0.054,0.176,0.074,3.717,0.819,0.955,1.432,CAS001_CAS0000013_stacked_03_H
0.324,0.055,0.163,0.106,4.344,0.797,0.996,1.833,CAS002_CAS0000153_stacked_02_H
0.204,0.106,0.085,0.013,3.631,1.099,0.766,0.5,CAS002_CAS0000127_stacked_01_H
1.755,0.244,0.74,0.771,10.394,2.193,3.623,4.196,CAS001_CAS0000071_stacked_01_H
0.245,0.04,0.08,0.125,2.891,0.318,1.061,1.406,CAS002_CAS0000104_stacked_02_H
0.365,0.076,0.16,0.129,4.612,0.846,0.677,2.073,CAS001_CAS0000044_stacked_03_H
0.458,0.13,0.171,0.157,5.384,1.383,2.025,1.729,CAS001_CAS0000082_stacked_02_H
1.165,0.347,0.545,0.273,5.538,1.727,1.575,1.626,CAS001_CAS0000068_stacked_01_H
0.186,0.06,0.076,0.05,4.01,1.104,0.993,1.177,CAS002_CAS0000116_stacked_01_H
0.429,0.066,0.18,0.183,4.903,1.08,0.675,2.204,CAS001_CAS0000040_stacked_01_H
0.526,0.227,0.248,0.051,6.985,1.858,2.179,1.218,CAS001_CAS0000034_stacked_02_H
0.251,0.136,0.084,0.031,3.974,1.24,0.583,1.094,CAS001_CAS0000090_stacked_01_H
0.761,0.248,0.354,0.159,6.944,1.784,2.676,1.847,CAS001_CAS0000028_stacked_02_H
1.162,0.338,0.406,0.418,6.693,1.289,1.965,2.947,CAS001_CAS0000066_stacked_02_H
0.193,0.071,0.07,0.052,4.295,1.064,0.906,1.655,CAS002_CAS0000130_stacked_02_H
0.204,0.038,0.064,0.102,4.522,1.079,1.245,2.033,CAS002_CAS0000144_stacked_01_H
0.32,0.079,0.136,0.105,4.308,0.909,1.542,1.66,CAS001_CAS0000012_stacked_01_H
0.191,0.039,0.062,0.09,3.511,0.548,1.224,1.611,CAS002_CAS0000122_stacked_01_H
1.827,0.17,0.682,0.975,9.342,1.457,3.343,4.285,CAS001_CAS0000074_stacked_01_H
0.818,0.001,0.208,0.609,13.844,0.127,2.52,5.344,CAS001_CAS0000033_stacked_04_H
0.166,0.052,0.071,0.043,4.074,0.747,0.523,1.271,CAS002_CAS0000118_stacked_02_H
0.251,0.064,0.141,0.046,3.824,0.807,0.807,0.842,CAS001_CAS0000058_stacked_03_H
0.22,0.045,0.109,0.066,3.545,0.65,1.236,1.463,CAS002_CAS0000156_stacked_02_H
0.386,0.064,0.231,0.091,4.227,0.931,0.892,1.59,CAS001_CAS0000086_stacked_02_H
0.766,0.231,0.202,0.333,8.871,1.465,2.686,4.151,CAS001_CAS0000022_stacked_01_H
1.432,0.296,0.529,0.607,9.624,2.031,2.737,4.326,CAS001_CAS0000056_stacked_02_H
0.19,0.05,0.076,0.064,4.73,0.955,0.911,1.866,CAS001_CAS0000018_stacked_02_H
0.15,0.043,0.051,0.056,3.896,0.894,1.394,1.537,CAS002_CAS0000100_stacked_02_H
0.407,0.105,0.095,0.207,4.794,1.012,1.144,2.287,CAS001_CAS0000030_stacked_02_H
0.333,0.12,0.122,0.091,6.219,1.369,0.628,2.282,CAS001_CAS0000026_stacked_03_H
0.287,0.076,0.102,0.109,4.126,0.909,1.287,1.703,CAS001_CAS0000094_stacked_01_H
0.204,0.083,0.081,0.04,3.685,1.082,0.304,1.082,CAS002_CAS0000128_stacked_02_H
0.202,0.056,0.075,0.071,4.152,1.028,0.571,1.524,CAS002_CAS0000112_stacked_01_H
0.22,0.072,0.072,0.076,3.612,0.928,0.928,1.292,CAS002_CAS0000140_stacked_01_H
0.697,0.211,0.194,0.292,5.847,1.126,0.858,2.467,CAS001_CAS0000016_stacked_01_H
0.382,0.074,0.13,0.178,4.187,0.922,1.229,1.575,CAS001_CAS0000058_stacked_01_H
0.428,0.144,0.053,0.231,6.619,1.275,0.85,2.915,CAS001_CAS0000062_stacked_02_H
0.283,0.1,0.133,0.05,4.266,1.135,1.37,1.683,CAS001_CAS0000088_stacked_01_H
0.252,0.069,0.067,0.116,4.239,0.856,1.089,1.906,CAS002_CAS0000134_stacked_02_H
0.213,0.074,0.105,0.034,4.432,1.139,1.261,0.895,CAS001_CAS0000004_stacked_02_H
0.433,0.047,0.23,0.156,4.708,0.734,1.166,2.117,CAS002_CAS0000152_stacked_02_H
0.353,0.1,0.186,0.067,4.067,0.97,1.791,1.157,CAS001_CAS0000012_stacked_03_H
0.118,0.061,0.033,0.024,4.097,1.09,0.864,0.639,CAS002_CAS0000126_stacked_01_H
1.548,0.397,,1.151,9.506,2.791,,3.75,CAS001_CAS0000070_stacked_01_H
1.432,0.232,0.618,0.582,9.647,1.593,3.009,4.602,CAS001_CAS0000053_stacked_02_H
0.19,0.052,0.076,0.062,3.747,0.791,0.722,1.478,CAS002_CAS0000105_stacked_02_H
0.631,0.129,0.285,0.217,4.616,0.847,0.974,2.033,CAS001_CAS0000083_stacked_02_H
1.203,0.293,0.664,0.246,7.296,1.74,1.874,2.544,CAS001_CAS0000027_stacked_01_H
0.529,0.17,,0.359,6.72,1.665,,2.713,CAS001_CAS0000069_stacked_01_H
0.108,0.058,0.018,0.032,3.91,0.861,1.327,1.004,CAS002_CAS0000117_stacked_01_H
0.523,0.187,0.144,0.192,5.959,1.312,1.968,2.515,CAS001_CAS0000041_stacked_01_H
1.242,0.266,0.357,0.619,8.827,1.458,2.915,4.292,CAS001_CAS0000035_stacked_02_H
0.143,,0.034,0.109,3.032,,0.556,1.502,CAS001_CAS0000091_stacked_01_H
0.814,0.255,0.275,0.284,6.865,1.385,2.33,2.267,CAS001_CAS0000067_stacked_02_H
0.708,0.149,0.204,0.355,9.902,1.817,2.089,4.724,CAS001_CAS0000029_stacked_02_H
0.239,0.065,0.124,0.05,4.491,1.154,0.989,1.648,CAS002_CAS0000131_stacked_02_H
0.319,0.093,0.132,0.094,4.43,1.097,1.788,1.423,CAS002_CAS0000145_stacked_01_H
0.315,0.056,0.176,0.083,3.823,0.877,1.087,1.438,CAS001_CAS0000013_stacked_01_H
0.208,0.055,0.104,0.049,3.906,1.003,0.609,1.397,CAS002_CAS0000123_stacked_01_H
1.979,0.348,0.696,0.935,10.553,1.936,3.776,4.647,CAS001_CAS0000075_stacked_01_H
0.428,0.056,0.206,0.166,5.152,1.087,0.898,2.269,CAS001_CAS0000001_stacked_02_H
0.21,0.086,0.076,0.048,4.071,1.12,0.373,1.307,CAS002_CAS0000119_stacked_02_H
0.704,0.166,0.262,0.276,6.703,1.353,2.214,3.013,CAS001_CAS0000021_stacked_01_H
0.216,0.053,0.096,0.067,3.544,0.683,0.618,1.463,CAS002_CAS0000139_stacked_01_H
0.459,0.055,0.341,0.063,4.402,0.687,1.09,0.929,CAS001_CAS0000085_stacked_02_H
0.169,,0.169,,2.389,,2.345,,CAS002_CAS0000103_stacked_02_H
0.425,0.116,0.157,0.152,5.304,0.584,1.898,2.725,CAS001_CAS0000016_stacked_05_H
0.633,0.113,0.131,0.389,7.746,1.279,1.848,3.411,CAS001_CAS0000033_stacked_02_H
1.806,0.217,0.507,1.082,10.05,1.291,3.227,5.348,CAS001_CAS0000009_stacked_01_H
0.701,0.229,0.21,0.262,7.184,1.384,2.373,3.296,CAS001_CAS0000047_stacked_01_H
0.224,0.064,0.086,0.074,4.301,1.065,1.342,1.697,CAS002_CAS0000111_stacked_01_H
0.681,0.155,0.25,0.276,6.253,1.778,1.262,2.639,CAS001_CAS0000015_stacked_01_H
0.287,0.086,0.074,0.127,3.906,1.039,1.147,1.613,CAS002_CAS0000143_stacked_01_H
0.625,0.133,0.205,0.287,7.569,1.458,1.528,3.194,CAS001_CAS0000077_stacked_03_H
0.242,0.067,0.078,0.097,3.562,1.013,0.784,1.503,CAS002_CAS0000137_stacked_02_H
0.72,0.138,0.283,0.299,7.02,1.61,1.546,2.962,CAS001_CAS0000061_stacked_02_H
0.2,0.026,0.084,0.09,4.009,0.699,0.552,1.765,CAS002_CAS0000151_stacked_02_H
