total_volume,volume_head,volume_thorax,volume_abdomen,total_length,length_head,length_thorax,length_abdomen,file_name
0.2,0.1,0.1,0.1,4.6,0.9,1.7,1.7,CAS002_CAS0000164_stacked_01_H
0.3,0.1,0.2,0.1,4.0,0.7,1.2,1.5,CAS004_CAS0000356_stacked_01_H
0.3,0.0,0.1,0.2,3.8,0.5,1.4,1.9,CAS004_CAS0000322_stacked_02_H
0.4,0.1,0.1,0.2,5.2,0.7,1.5,2.5,CAS003_CAS0000245_stacked_01_H
0.3,0.0,0.1,0.2,4.7,0.8,1.0,2.6,CAS004_CAS0000288_stacked_02_H
0.5,0.0,0.2,0.2,13.3,0.7,1.8,3.0,CAS004_CAS0000344_stacked_02_H
0.4,0.1,0.2,0.1,4.4,0.9,1.7,1.6,CAS003_CAS0000223_stacked_01_H
0.2,0.1,0.1,0.1,4.8,1.0,1.4,2.1,CAS002_CAS0000176_stacked_02_H
0.5,0.1,0.2,0.1,6.5,1.6,1.9,2.5,CAS005_CAS0000396_stacked_01_H
0.4,0.0,0.1,0.2,4.9,0.6,1.4,2.2,CAS003_CAS0000257_stacked_02_H
0.6,0.1,0.2,0.2,6.8,1.1,1.6,3.1,CAS003_CAS0000219_stacked_02_H
0.3,0.1,0.1,0.2,4.5,0.7,1.8,1.9,CAS004_CAS0000313_stacked_02_H
0.4,0.1,0.2,0.1,4.6,1.1,1.4,2.0,CAS003_CAS0000274_stacked_01_H
0.3,0.1,0.1,0.1,4.8,1.0,1.5,2.0,CAS002_CAS0000185_stacked_01_H
0.3,0.1,0.1,0.1,4.9,1.0,1.0,2.1,CAS003_CAS0000200_stacked_02_H
0.6,0.3,0.3,0.1,5.5,1.4,1.7,1.9,CAS005_CAS0000415_stacked_01_H
0.3,0.1,0.2,0.1,4.5,1.2,1.5,1.0,CAS003_CAS0000266_stacked_02_H
0.2,0.0,0.1,0.1,3.0,0.5,2.0,1.4,CAS003_CAS0000228_stacked_02_H
0.2,0.1,0.1,0.1,4.1,0.9,1.2,1.9,CAS003_CAS0000195_stacked_01_H
0.2,0.1,0.1,0.1,3.5,0.8,1.3,1.4,CAS004_CAS0000301_stacked_01_H
0.4,0.0,0.1,0.2,5.0,0.7,1.4,2.3,CAS004_CAS0000375_stacked_02_H
0.2,0.1,0.1,0.0,3.5,0.6,1.1,0.9,CAS003_CAS0000212_stacked_01_H
0.4,0.1,0.2,0.1,4.2,0.8,0.8,1.8,CAS004_CAS0000291_stacked_02_H
0.4,0.1,0.2,0.1,4.4,0.9,1.5,1.8,CAS004_CAS0000369_stacked_02_H
0.5,0.1,0.1,0.3,8.0,1.6,1.4,3.0,CAS003_CAS0000240_stacked_01_H
0.2,0.1,,0.1,4.8,1.1,,2.3,CAS004_CAS0000327_stacked_02_H
0.3,0.1,0.1,0.1,3.9,0.8,1.3,1.3,CAS005_CAS0000421_stacked_01_H
